rmse,bias,coverage,rank_corr,method,scenario,replication,inconsistency_detected,high_freq_ratio
0.06816069302463854,0.015272721855822388,0.75,0.7999999999999999,Standard_NMA,Baseline,0,,
0.061949494846507545,0.005974714080148387,1.0,0.7999999999999999,E-NMA,Baseline,0,,
0.06816069302463854,0.015272721855822388,0.75,0.7999999999999999,S-NMA,Baseline,0,False,0.3330278264887092
0.04563886289829178,0.029603439653432657,1.0,1.0,Standard_NMA,Baseline,1,,
0.05113406456086709,0.038176134321703276,1.0,1.0,E-NMA,Baseline,1,,
0.04563886289829178,0.029603439653432657,1.0,1.0,S-NMA,Baseline,1,False,0.30790044806102806
0.15528761932825053,0.12691939146665038,0.75,0.39999999999999997,Standard_NMA,Baseline,2,,
0.15528761932825053,0.12691939146665038,0.75,0.39999999999999997,E-NMA,Baseline,2,,
0.15528761932825053,0.12691939146665038,0.75,0.39999999999999997,S-NMA,Baseline,2,False,0.3264821832086286
0.07095439726103293,-0.05447378346823223,1.0,1.0,Standard_NMA,Baseline,3,,
0.06422885076964639,-0.04764851087238059,1.0,1.0,E-NMA,Baseline,3,,
0.07095439726103293,-0.05447378346823223,1.0,1.0,S-NMA,Baseline,3,False,0.22372587631278892
0.11152527425068885,-0.09489442124642011,0.75,1.0,Standard_NMA,Baseline,4,,
0.12519125175649787,-0.10794984724536048,0.75,0.7999999999999999,E-NMA,Baseline,4,,
0.11152527425068885,-0.09489442124642011,0.75,1.0,S-NMA,Baseline,4,False,0.2264131750781759
0.05526911523250983,-0.009719884579451499,1.0,0.7999999999999999,Standard_NMA,Baseline,5,,
0.0565403172552687,-0.018073235759826,1.0,0.7999999999999999,E-NMA,Baseline,5,,
0.05526911523250983,-0.009719884579451499,1.0,0.7999999999999999,S-NMA,Baseline,5,False,0.28451255171401796
0.12194910174110674,-0.10480703011715004,0.75,0.7999999999999999,Standard_NMA,Baseline,6,,
0.12414410309388194,-0.10475341301064152,0.75,0.7999999999999999,E-NMA,Baseline,6,,
0.12194910174110674,-0.10480703011715004,0.75,0.7999999999999999,S-NMA,Baseline,6,False,0.2617679424087215
0.07770616453336991,-0.07446928560941962,1.0,1.0,Standard_NMA,Baseline,7,,
0.08409494426876855,-0.08156999853484531,1.0,1.0,E-NMA,Baseline,7,,
