treatment,E-NMA_effect,E-NMA_se,E-NMA_ci_lo,E-NMA_ci_hi,Std/S-NMA_effect,Std/S-NMA_se,Std/S-NMA_ci_lo,Std/S-NMA_ci_hi
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.20686732066060448,0.16219569779026624,-0.11103040545566017,0.5247650467768692,0.20866296762119924,0.1224891028115563,-0.031411262388074984,0.4487371976304735
C,0.6364660759844802,0.07793803291211857,0.48371033845083045,0.78922181351813,0.6359460092557446,0.05860089228885627,0.5210903709076754,0.7508016476038138
D,0.6203290275640475,0.19281363266090162,0.24242125182034446,0.9982368033077506,0.6316823165565805,0.17068373037933451,0.2971483522661397,0.9662162808470212
