treatment,E-NMA_effect,E-NMA_se,E-NMA_ci_lo,E-NMA_ci_hi,Std/S-NMA_effect,Std/S-NMA_se,Std/S-NMA_ci_lo,Std/S-NMA_ci_hi
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,-1.9112456248863188,0.06883235068894548,-2.0461545532078826,-1.776336696564755,-1.911245624886319,0.04129941041336729,-1.9921909818792574,-1.8303002678933806
C,-0.5191361518858488,0.09946191570518442,-0.7140779245013691,-0.32419437927032857,-0.5191361518858489,0.05967714942311065,-0.6361012154551611,-0.4021710883165368
D,-0.6156339562108004,0.08699071796521754,-0.7861326304119083,-0.44513528200969255,-0.6156339562108005,0.05219443077913053,-0.7179331607314652,-0.5133347516901359
E,-0.9156339562108002,0.09663847670322981,-1.1050418900699437,-0.7262260223516568,-0.9156339562108005,0.06705123989736596,-1.0470519715283928,-0.784215940893208
